"","AICc_nchar_penalty","AICc_ncharTimesntax_penalty","AICc_ntax_penalty","logNchar","LogNcharTimesLogNtax","LogNcharTimesNtax","logNtax","nchar","NcharTimesLogNtax","NcharTimesNtax","ntax","df","logLik","AICc","delta","weight"
"513",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0274063831354951,NA,2,-3399.61021618255,6803.24273719781,0,1
"257",NA,NA,NA,NA,NA,NA,NA,NA,0.691432772560105,NA,NA,2,-4260.63777955956,8525.29786395183,1722.05512675403,0
"33",NA,NA,NA,NA,NA,1.99680562734089,NA,NA,NA,NA,NA,2,-4278.45332667468,8560.92895818208,1757.68622098428,0
"17",NA,NA,NA,NA,50.6934369793405,NA,NA,NA,NA,NA,NA,2,-4408.04008482599,8820.1024744847,2016.85973728689,0
"129",NA,NA,NA,NA,NA,NA,NA,2.01753864275381,NA,NA,NA,2,-4444.07091949564,8892.164143824,2088.92140662619,0
"9",NA,NA,NA,150.469654090257,NA,NA,NA,NA,NA,NA,NA,2,-4495.92353754346,8995.86937991964,2192.62664272183,0
"1025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.22251731674513,2,-4498.03985386856,9000.10201256984,2196.85927537203,0
"65",NA,NA,NA,NA,NA,NA,141.874137808365,NA,NA,NA,NA,2,-4522.61933011705,9049.26096506681,2246.018227869,0
"3",NA,228.763365503029,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-4548.44487124301,9100.91204731874,2297.66931012094,0
"5",NA,NA,180.084084378896,NA,NA,NA,NA,NA,NA,NA,NA,2,-4557.37681471826,9118.77593426923,2315.53319707142,0
"2",118.64409573871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-4570.24237256917,9144.50704997105,2341.26431277325,0
